"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","11266500",2011-02-20,457,"A"
"USGS","11266500",2011-02-21,443,"A"
"USGS","11266500",2011-02-22,434,"A"
"USGS","11266500",2011-02-23,420,"A"
"USGS","11266500",2011-02-24,415,"A"
"USGS","11266500",2011-02-25,418,"A"
"USGS","11266500",2011-02-26,393,"A"
"USGS","11266500",2011-02-27,382,"A"
"USGS","11266500",2011-02-28,392,"A"
"USGS","11266500",2011-03-01,398,"A"
"USGS","11266500",2011-03-02,446,"A"
"USGS","11266500",2011-03-03,471,"A"
"USGS","11266500",2011-03-04,434,"A"
"USGS","11266500",2011-03-05,437,"A"
"USGS","11266500",2011-03-06,498,"A"
"USGS","11266500",2011-03-07,560,"A"
"USGS","11266500",2011-03-08,512,"A"
"USGS","11266500",2011-03-09,547,"A"
"USGS","11266500",2011-03-10,582,"A"
"USGS","11266500",2011-03-11,624,"A"
"USGS","11266500",2011-03-12,635,"A"
"USGS","11266500",2011-03-13,627,"A"
"USGS","11266500",2011-03-14,615,"A"
"USGS","11266500",2011-03-15,714,"A"
"USGS","11266500",2011-03-16,1300,"A"
"USGS","11266500",2011-03-17,993,"A"
"USGS","11266500",2011-03-18,821,"A"
"USGS","11266500",2011-03-19,734,"A"
"USGS","11266500",2011-03-20,707,"A"
"USGS","11266500",2011-03-21,667,"A"
"USGS","11266500",2011-03-22,684,"A"
"USGS","11266500",2011-03-23,683,"A"
"USGS","11266500",2011-03-24,636,"A"
"USGS","11266500",2011-03-25,617,"A"
"USGS","11266500",2011-03-26,649,"A"
"USGS","11266500",2011-03-27,616,"A"
"USGS","11266500",2011-03-28,638,"A"
"USGS","11266500",2011-03-29,679,"A"
"USGS","11266500",2011-03-30,799,"A"
"USGS","11266500",2011-03-31,1080,"A"
"USGS","11266500",2011-04-01,1530,"A"
"USGS","11266500",2011-04-02,1850,"A"
"USGS","11266500",2011-04-03,1720,"A"
"USGS","11266500",2011-04-04,1650,"A"
"USGS","11266500",2011-04-05,1920,"A"
"USGS","11266500",2011-04-06,2010,"A"
"USGS","11266500",2011-04-07,1860,"A"
"USGS","11266500",2011-04-08,1430,"A"
"USGS","11266500",2011-04-09,1250,"A"
"USGS","11266500",2011-04-10,1120,"A"
"USGS","11266500",2011-04-11,1150,"A"
"USGS","11266500",2011-04-12,1220,"A"
"USGS","11266500",2011-04-13,1270,"A"
"USGS","11266500",2011-04-14,1090,"A"
"USGS","11266500",2011-04-15,1110,"A"
"USGS","11266500",2011-04-16,1520,"A"
"USGS","11266500",2011-04-17,2120,"A"
"USGS","11266500",2011-04-18,2540,"A"
"USGS","11266500",2011-04-19,2410,"A"
"USGS","11266500",2011-04-20,2490,"A"
"USGS","11266500",2011-04-21,2110,"A"
"USGS","11266500",2011-04-22,1890,"A"
"USGS","11266500",2011-04-23,1680,"A"
"USGS","11266500",2011-04-24,1570,"A"
"USGS","11266500",2011-04-25,1500,"A"
"USGS","11266500",2011-04-26,1500,"A"
"USGS","11266500",2011-04-27,1660,"A"
"USGS","11266500",2011-04-28,1990,"A"
"USGS","11266500",2011-04-29,1990,"A"
"USGS","11266500",2011-04-30,1900,"A"
"USGS","11266500",2011-05-01,1890,"A"
"USGS","11266500",2011-05-02,2140,"A"
"USGS","11266500",2011-05-03,2630,"A"
"USGS","11266500",2011-05-04,3210,"A"
"USGS","11266500",2011-05-05,3930,"A"
"USGS","11266500",2011-05-06,4370,"A"
"USGS","11266500",2011-05-07,4490,"A"
"USGS","11266500",2011-05-08,4340,"A"
"USGS","11266500",2011-05-09,3020,"A"
"USGS","11266500",2011-05-10,2330,"A"
"USGS","11266500",2011-05-11,2450,"A"
"USGS","11266500",2011-05-12,3210,"A"
"USGS","11266500",2011-05-13,4040,"A"
"USGS","11266500",2011-05-14,4450,"A"
"USGS","11266500",2011-05-15,3790,"A"
"USGS","11266500",2011-05-16,2670,"A"
"USGS","11266500",2011-05-17,2220,"A"
"USGS","11266500",2011-05-18,2050,"A"
"USGS","11266500",2011-05-19,1870,"A"
"USGS","11266500",2011-05-20,1950,"A"
"USGS","11266500",2011-05-21,2440,"A"
"USGS","11266500",2011-05-22,2840,"A"
"USGS","11266500",2011-05-23,2990,"A"
"USGS","11266500",2011-05-24,2900,"A"
"USGS","11266500",2011-05-25,3090,"A"
"USGS","11266500",2011-05-26,2970,"A"
"USGS","11266500",2011-05-27,3320,"A"
"USGS","11266500",2011-05-28,3470,"A"
"USGS","11266500",2011-05-29,2930,"A"
"USGS","11266500",2011-05-30,2260,"A"
"USGS","11266500",2011-05-31,2200,"A"
"USGS","11266500",2011-06-01,2250,"A"
"USGS","11266500",2011-06-02,2000,"A"
"USGS","11266500",2011-06-03,1970,"A"
"USGS","11266500",2011-06-04,1960,"A"
"USGS","11266500",2011-06-05,2690,"A"
"USGS","11266500",2011-06-06,2990,"A"
"USGS","11266500",2011-06-07,2500,"A"
"USGS","11266500",2011-06-08,3330,"A"
"USGS","11266500",2011-06-09,3950,"A"
"USGS","11266500",2011-06-10,4500,"A"
"USGS","11266500",2011-06-11,4720,"A"
"USGS","11266500",2011-06-12,4480,"A"
"USGS","11266500",2011-06-13,5090,"A"
"USGS","11266500",2011-06-14,5490,"A"
"USGS","11266500",2011-06-15,6120,"A"
"USGS","11266500",2011-06-16,6370,"A"
"USGS","11266500",2011-06-17,5560,"A"
"USGS","11266500",2011-06-18,5280,"A"
"USGS","11266500",2011-06-19,5370,"A"
"USGS","11266500",2011-06-20,5280,"A"
"USGS","11266500",2011-06-21,5760,"A"
"USGS","11266500",2011-06-22,6080,"A"
"USGS","11266500",2011-06-23,6150,"A"
"USGS","11266500",2011-06-24,5670,"A"
"USGS","11266500",2011-06-25,4820,"A"
"USGS","11266500",2011-06-26,4390,"A"
"USGS","11266500",2011-06-27,4250,"A"
"USGS","11266500",2011-06-28,4480,"A"
"USGS","11266500",2011-06-29,5460,"A"
"USGS","11266500",2011-06-30,4030,"A"
"USGS","11266500",2011-07-01,3620,"A"
"USGS","11266500",2011-07-02,3860,"A"
"USGS","11266500",2011-07-03,4100,"A"
"USGS","11266500",2011-07-04,4090,"A"
"USGS","11266500",2011-07-05,4220,"A"
"USGS","11266500",2011-07-06,3770,"A"
"USGS","11266500",2011-07-07,3980,"A"
"USGS","11266500",2011-07-08,3500,"A"
"USGS","11266500",2011-07-09,3220,"A"
"USGS","11266500",2011-07-10,2830,"A"
"USGS","11266500",2011-07-11,2440,"A"
"USGS","11266500",2011-07-12,2230,"A"
"USGS","11266500",2011-07-13,2110,"A"
"USGS","11266500",2011-07-14,1960,"A"
"USGS","11266500",2011-07-15,1850,"A"
"USGS","11266500",2011-07-16,1780,"A"
"USGS","11266500",2011-07-17,1640,"A"
"USGS","11266500",2011-07-18,1490,"A"
"USGS","11266500",2011-07-19,1390,"A"
"USGS","11266500",2011-07-20,1350,"A"
"USGS","11266500",2011-07-21,1340,"A"
"USGS","11266500",2011-07-22,1310,"A"
"USGS","11266500",2011-07-23,1330,"A"
"USGS","11266500",2011-07-24,1350,"A"
"USGS","11266500",2011-07-25,1240,"A"
"USGS","11266500",2011-07-26,1090,"A"
"USGS","11266500",2011-07-27,989,"A"
"USGS","11266500",2011-07-28,978,"A"
"USGS","11266500",2011-07-29,1010,"A"
"USGS","11266500",2011-07-30,1280,"A"
"USGS","11266500",2011-07-31,1810,"A"
"USGS","11266500",2011-08-01,1390,"A"
"USGS","11266500",2011-08-02,1010,"A"
"USGS","11266500",2011-08-03,858,"A"
"USGS","11266500",2011-08-04,761,"A"
"USGS","11266500",2011-08-05,696,"A"
"USGS","11266500",2011-08-06,648,"A"
"USGS","11266500",2011-08-07,609,"A"
"USGS","11266500",2011-08-08,576,"A"
"USGS","11266500",2011-08-09,548,"A"
"USGS","11266500",2011-08-10,517,"A"
"USGS","11266500",2011-08-11,489,"A"
"USGS","11266500",2011-08-12,462,"A"
"USGS","11266500",2011-08-13,434,"A"
"USGS","11266500",2011-08-14,414,"A"
"USGS","11266500",2011-08-15,414,"A"
"USGS","11266500",2011-08-16,407,"A"
"USGS","11266500",2011-08-17,368,"A"
"USGS","11266500",2011-08-18,338,"A"
"USGS","11266500",2011-08-19,323,"A"
"USGS","11266500",2011-08-20,331,"A"
"USGS","11266500",2011-08-21,326,"A"
"USGS","11266500",2011-08-22,293,"A"
"USGS","11266500",2011-08-23,265,"A"
"USGS","11266500",2011-08-24,255,"A"
"USGS","11266500",2011-08-25,275,"A"
"USGS","11266500",2011-08-26,282,"A"
"USGS","11266500",2011-08-27,274,"A"
"USGS","11266500",2011-08-28,294,"A"
"USGS","11266500",2011-08-29,309,"A"
"USGS","11266500",2011-08-30,273,"A"
"USGS","11266500",2011-08-31,231,"A"
"USGS","11266500",2011-09-01,203,"A"
"USGS","11266500",2011-09-02,182,"A"
"USGS","11266500",2011-09-03,169,"A"
"USGS","11266500",2011-09-04,160,"A"
"USGS","11266500",2011-09-05,155,"A"
"USGS","11266500",2011-09-06,148,"A"
"USGS","11266500",2011-09-07,138,"A"
"USGS","11266500",2011-09-08,132,"A"
"USGS","11266500",2011-09-09,135,"A"
"USGS","11266500",2011-09-10,151,"A"
"USGS","11266500",2011-09-11,161,"A"
"USGS","11266500",2011-09-12,224,"A"
"USGS","11266500",2011-09-13,235,"A"
"USGS","11266500",2011-09-14,261,"A"
"USGS","11266500",2011-09-15,224,"A"
"USGS","11266500",2011-09-16,224,"A"
"USGS","11266500",2011-09-17,191,"A"
"USGS","11266500",2011-09-18,162,"A"
"USGS","11266500",2011-09-19,141,"A"
"USGS","11266500",2011-09-20,126,"A"
"USGS","11266500",2011-09-21,119,"A"
"USGS","11266500",2011-09-22,120,"A"
"USGS","11266500",2011-09-23,112,"A"
"USGS","11266500",2011-09-24,114,"A"
"USGS","11266500",2011-09-25,126,"A"
"USGS","11266500",2011-09-26,108,"A"
"USGS","11266500",2011-09-27,101,"A"
"USGS","11266500",2011-09-28,94,"A"
"USGS","11266500",2011-09-29,88.9,"A"
"USGS","11266500",2011-09-30,85.6,"A"
"USGS","11266500",2011-10-01,82.3,"A"
"USGS","11266500",2011-10-02,79.5,"A"
"USGS","11266500",2011-10-03,77.9,"A"
"USGS","11266500",2011-10-04,75,"A"
"USGS","11266500",2011-10-05,181,"A"
"USGS","11266500",2011-10-06,216,"A"
"USGS","11266500",2011-10-07,196,"A"
"USGS","11266500",2011-10-08,239,"A"
"USGS","11266500",2011-10-09,267,"A"
"USGS","11266500",2011-10-10,290,"A"
"USGS","11266500",2011-10-11,632,"A"
"USGS","11266500",2011-10-12,537,"A"
"USGS","11266500",2011-10-13,398,"A"
"USGS","11266500",2011-10-14,325,"A"
"USGS","11266500",2011-10-15,268,"A"
"USGS","11266500",2011-10-16,226,"A"
"USGS","11266500",2011-10-17,194,"A"
"USGS","11266500",2011-10-18,171,"A"
"USGS","11266500",2011-10-19,152,"A"
"USGS","11266500",2011-10-20,136,"A"
"USGS","11266500",2011-10-21,121,"A"
"USGS","11266500",2011-10-22,110,"A"
"USGS","11266500",2011-10-23,100,"A"
"USGS","11266500",2011-10-24,92.6,"A"
"USGS","11266500",2011-10-25,86.9,"A"
"USGS","11266500",2011-10-26,82.3,"A"
"USGS","11266500",2011-10-27,78.5,"A"
"USGS","11266500",2011-10-28,75.2,"A"
"USGS","11266500",2011-10-29,71.6,"A"
"USGS","11266500",2011-10-30,68.4,"A"
"USGS","11266500",2011-10-31,65.5,"A"
"USGS","11266500",2011-11-01,63.1,"A"
"USGS","11266500",2011-11-02,60.6,"A"
"USGS","11266500",2011-11-03,59.4,"A"
"USGS","11266500",2011-11-04,63,"A"
"USGS","11266500",2011-11-05,61.8,"A"
"USGS","11266500",2011-11-06,67.8,"A"
"USGS","11266500",2011-11-07,67.9,"A"
"USGS","11266500",2011-11-08,70.3,"A"
"USGS","11266500",2011-11-09,72.5,"A"
"USGS","11266500",2011-11-10,74,"A"
"USGS","11266500",2011-11-11,76.2,"A"
"USGS","11266500",2011-11-12,81.4,"A"
"USGS","11266500",2011-11-13,86.1,"A"
"USGS","11266500",2011-11-14,85.7,"A"
"USGS","11266500",2011-11-15,83.5,"A"
"USGS","11266500",2011-11-16,81,"A"
"USGS","11266500",2011-11-17,77.5,"A"
"USGS","11266500",2011-11-18,75.1,"A"
"USGS","11266500",2011-11-19,72.9,"A"
"USGS","11266500",2011-11-20,70.2,"A"
"USGS","11266500",2011-11-21,64.2,"A"
"USGS","11266500",2011-11-22,65.8,"A"
"USGS","11266500",2011-11-23,66.6,"A"
"USGS","11266500",2011-11-24,66.2,"A"
"USGS","11266500",2011-11-25,62.9,"A"
"USGS","11266500",2011-11-26,61.3,"A"
"USGS","11266500",2011-11-27,61.1,"A"
"USGS","11266500",2011-11-28,60.3,"A"
"USGS","11266500",2011-11-29,59.9,"A"
"USGS","11266500",2011-11-30,58.6,"A"
"USGS","11266500",2011-12-01,56.2,"A"
"USGS","11266500",2011-12-02,50.8,"A"
"USGS","11266500",2011-12-03,51.1,"A"
"USGS","11266500",2011-12-04,48.2,"A"
"USGS","11266500",2011-12-05,48.8,"A"
"USGS","11266500",2011-12-06,47.5,"A"
"USGS","11266500",2011-12-07,47.7,"A"
"USGS","11266500",2011-12-08,48.1,"A"
"USGS","11266500",2011-12-09,46.9,"A"
"USGS","11266500",2011-12-10,45.4,"A"
"USGS","11266500",2011-12-11,44.3,"A"
"USGS","11266500",2011-12-12,43.4,"A"
"USGS","11266500",2011-12-13,42.7,"A"
"USGS","11266500",2011-12-14,41,"A"
"USGS","11266500",2011-12-15,40.7,"A"
"USGS","11266500",2011-12-16,39.2,"A"
"USGS","11266500",2011-12-17,38.7,"A"
"USGS","11266500",2011-12-18,38.3,"A"
"USGS","11266500",2011-12-19,38.2,"A"
"USGS","11266500",2011-12-20,37.2,"A"
"USGS","11266500",2011-12-21,37.4,"A"
"USGS","11266500",2011-12-22,35.3,"A"
"USGS","11266500",2011-12-23,33.9,"A"
"USGS","11266500",2011-12-24,34.5,"A"
"USGS","11266500",2011-12-25,34.2,"A"
"USGS","11266500",2011-12-26,34.1,"A"
"USGS","11266500",2011-12-27,33.8,"A"
"USGS","11266500",2011-12-28,33.6,"A"
"USGS","11266500",2011-12-29,34.8,"A"
"USGS","11266500",2011-12-30,35,"A"
"USGS","11266500",2011-12-31,34.7,"A"
"USGS","11266500",2012-01-01,34.7,"A"
"USGS","11266500",2012-01-02,34.3,"A"
"USGS","11266500",2012-01-03,34.5,"A"
"USGS","11266500",2012-01-04,34.4,"A"
"USGS","11266500",2012-01-05,34.6,"A"
"USGS","11266500",2012-01-06,34.3,"A"
"USGS","11266500",2012-01-07,33.5,"A"
"USGS","11266500",2012-01-08,33.2,"A"
"USGS","11266500",2012-01-09,33.2,"A"
"USGS","11266500",2012-01-10,33,"A"
"USGS","11266500",2012-01-11,32.8,"A"
"USGS","11266500",2012-01-12,32.3,"A"
"USGS","11266500",2012-01-13,31.7,"A"
"USGS","11266500",2012-01-14,31.2,"A"
"USGS","11266500",2012-01-15,30.5,"A"
"USGS","11266500",2012-01-16,30.1,"A"
"USGS","11266500",2012-01-17,28.1,"A"
"USGS","11266500",2012-01-18,27.8,"A"
"USGS","11266500",2012-01-19,28.7,"A"
"USGS","11266500",2012-01-20,36.3,"A"
"USGS","11266500",2012-01-21,567,"A"
"USGS","11266500",2012-01-22,142,"A"
